"Where the repair takes place: SYSTEM,AHU,CU,LV,
REF,DUCT",What is being repaired,Classification - Varies across categories but same within category.,Classification - Varies across categories but same within category.,Classification - Varies across categories but same within category.,Classification - Varies across categories but same within category.,,Brief breakdown of repair steps,,"What we have been charging

Zero values indicate that there is not adequate historical informatioin for a price.",,,Variance from Historical Price,Pricing cannot be known in advance.,Should we normally fix this in one visit?,"Travel Time
HOURS
.5 HR for One Shot
2 HR for Return","How long the actual repair takes to diagnose and correct
HOURS
Minimum set at .5",,,,,,,,Our Cost,,Our Cost,,Our Cost,,Our Cost,,Our Cost,
Location,Component,Action,Cat 1,Cat 2,Cat 3,Repair Code,Repair Notes,QB Repair Description,Historic Price,Flat Rate,Column 34,Delta,Variable,One Shot,Travel Time,Work Time,Total Time,Labor Cost,Material Cost,Profit,Profit / HR,Margin,Part 1,Part 1 $,Part 2,Part 2 $,Part 3,Part 3 $,Refrigerant,Refrigerant $,Materials,Material $,? / Note
AHU,Capacitor,Replace,,,,AHU - Capacitor - Replace,Replace capacitor > test operation,"Diagnosis: Tested the Air Handler Unit blower assembly and identified a failed run capacitor reading well below rating.
Repair Completed: Discharged and replaced the defective capacitor with a new OEM-rated component. Verified the blower motor is now drawing correct amperage and the system is operating at full airflow capacity.",$233,$265,$265,$32,FALSE,TRUE,0.5,0.5,1,$90,$30,$145,$145,55%,Capacitor - Single,10,,,,,,,Standard,20,
AHU,Coil,Clean,,,,AHU - Coil - Clean,Vacuum coil > apply no-rinse cleaner > verify airflow,"Diagnosis: Performed an inspection of the indoor Air Handler Unit and identified significant dust and debris accumulation on the evaporator coil, causing restricted airflow and reduced heat transfer.

Repair Completed: Thoroughly vacuumed the coil face to remove heavy particulate. Applied a professional-grade, no-rinse antimicrobial cleaner to deep-clean the fins and verified that airflow has been restored.",$195,$215,$215,$20,FALSE,TRUE,0.5,0.5,1,$90,$20,$105,$105,49%,,,,,,,,,Standard,20,
AHU,Cond Lines,Clear,,,,AHU - Cond Lines - Clear,Clear condensate drain line - vacuum or air > includes one cut and coupling > verify drainage,"Diagnosis: Identified a blockage in the primary condensate drain line, causing water backup in the drain pan and triggering the safety float switch to shut down the system.

Repair Completed: Cleared the line and verified proper system drainage and operation.",$165,$195,$195,$30,FALSE,TRUE,0.5,0.5,1,$90,$5,$100,$100,51%,,,,,,,,,Minimal,5,
AHU,Control Board,Replace,,,,AHU - Control Board - Replace,Replace blower control board > repair damaged wiring > test operation,"Diagnosis: Inspected indoor Air Handler Unit and identified a failed integrated control board with visible burn marks; confirmed board was failing to send voltage to the blower motor.

Repair Completed: Disconnected electrical supply and replaced the faulty OEM board. Verified all wire terminations, restored power, and confirmed the system cycles correctly through all stages.",$456,$455,$455,-$1,FALSE,TRUE,0.5,1,1.5,$135,$70,$250,$167,55%,Control Board - Blower,50,,,,,,,Standard,20,
AHU,Drain Pan,Replace,,,,AHU - Drain Pan - Replace,Remove existing drain pan > install new drain pan > verify drainage > test operation,"Diagnosis: Inspected the indoor Air Handler Unit and identified a cracked/corroded primary drain pan that was leaking moisture into the cabinet and bypassing the condensate line.

Repair Completed: Disconnected the drain assembly and removed the compromised pan. Installed a new OEM-rated drain pan, re-established all plumbing connections, and verified proper drainage.",$850,"$1,010","$1,010",$160,FALSE,FALSE,2,3,5,$450,$60,$500,$100,50%,Drain Pan,40,,,,,,,Standard,20,
AHU,Evap Coil,Replace,,,,AHU - Evap Coil - Replace,Recover refrigerant > remove evaporator coil > install new coil > pressure test > evacuate system > recharge - pricing based on $350 coil adjust as needed,"Diagnosis: Isolated a non-repairable refrigerant leak within the indoor evaporator coil using electronic leak detection; confirmed the coil integrity was compromised and causing system-wide cooling failure.

Repair Completed: Recovered all refrigerant to EPA standards and replaced the faulty coil with a new OEM assembly. Successfully performed a high-pressure nitrogen test, evacuated the system to a deep vacuum (below 500 microns), and recharged with new refrigerant to factory specifications.","$1,675","$1,675","$1,795",$0,TRUE,FALSE,2,4,6,$540,$510,$625,$104,37%,Coil - Evaporator,350,,,,,8,$120,Brazing,40,
AHU,Limit / Sequencer,Replace,,,,AHU - Limit / Sequencer - Replace,Replace limit switch or sequencer > verify safe operation,"Diagnosis: Identified a faulty limit switch or heat sequencer failing to engage/disengage the electric heat strips correctly.

Repair Completed: Replaced the defective component and verified all safety limits and temperature rises are within manufacturer specifications.",$211,$308,$308,$97,FALSE,TRUE,0.5,1,1.5,$135,$20,$153,$102,50%,Limit / Sequencer,15,,,,,,,Minimal,5,
AHU,Motor,Replace,Forward,,,AHU - Motor - Replace - Forward,Replace accessible blower motor > secure wiring > test operation,"Diagnosis: Confirmed a failed blower motor (accessible) with an open winding or seized bearing preventing air circulation.

Repair Completed: Replaced the motor and secured all internal wiring; verified proper rotation and system airflow during a full cycle test.",$673,$942,$942,$269,FALSE,FALSE,2,1.5,3.5,$315,$305,$322,$92,34%,Motor,285,,,,,,,Standard,20,
AHU,Motor,Replace,Transverse,,,AHU - Motor - Replace - Transverse,Remove blower assembly > replace motor in non-removable housing > reassemble > test operation,"Diagnosis: Identified a failed blower motor located within a non-removable housing, requiring full assembly disassembly.

Repair Completed: Removed the blower assembly, replaced the transverse motor, and reassembled the unit; verified smooth operation and correct amp draws.",$922,"$1,200","$1,200",$278,FALSE,FALSE,2,3,5,$450,$305,$445,$89,37%,Motor,285,,,,,,,Standard,20,
